#timestamp [ns], p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1520437769298024422,0.4906975506,0.0897048317,1.1781031667,0.9999197559,0.0101812555,0.0028273956,-0.0069878192
1520437769306357422,0.4907428728,0.0896232368,1.1781404398,0.9999237084,0.0098274854,0.0028342415,-0.0069256751
1520437769314690422,0.4906231057,0.0893988652,1.1782466335,0.9999280519,0.0089425362,0.0029742892,-0.0074213006
1520437769323023422,0.4906923368,0.0893343344,1.1783029032,0.9999304953,0.0087498447,0.0028073681,-0.0073867044
1520437769331357422,0.4907431249,0.0892671173,1.1783520049,0.9999314167,0.0086556066,0.0025591369,-0.0074627866
1520437769339690422,0.4907780352,0.0891802069,1.1784243621,0.9999319021,0.0085557588,0.0023591503,-0.0075778936
1520437769348024422,0.4908113226,0.0890521312,1.1784858229,0.9999305022,0.0085682170,0.0020228508,-0.0078412050
1520437769356357422,0.4908144425,0.0889391311,1.1785470978,0.9999289769,0.0085937376,0.0017611971,-0.0080676566
1520437769364690422,0.4908425362,0.0887824105,1.1786008553,0.9999258482,0.0087048937,0.0014216246,-0.0083965422
1520437769373023422,0.4908649530,0.0885756560,1.1786653783,0.9999256746,0.0087863148,0.0014609344,-0.0083253542
1520437769381357422,0.4908866001,0.0884829764,1.1786868353,0.9999241255,0.0085382019,0.0008368099,-0.0088398034
1520437769389690422,0.4909192881,0.0883938919,1.1788035749,0.9999252261,0.0082419096,0.0003816072,-0.0090259349
1520437769398023422,0.4909933143,0.0883110251,1.1788412316,0.9999234623,0.0084192210,-0.0000477145,-0.0090655371
1520437769406357422,0.4910615927,0.0882237133,1.1789369492,0.9999244707,0.0083709354,-0.0005821016,-0.0089800652
1520437769414690422,0.4911296449,0.0881326412,1.1790160460,0.9999241665,0.0085494851,-0.0011928753,-0.0087832056
1520437769423024422,0.4912020390,0.0881084480,1.1791595643,0.9999272792,0.0081856984,-0.0018629107,-0.0086579538
1520437769431357422,0.4912727654,0.0880635937,1.1792602638,0.9999228163,0.0085521163,-0.0025911272,-0.0086318505
1520437769439690422,0.4912989544,0.0880124402,1.1793869715,0.9999212618,0.0085326812,-0.0032416349,-0.0086113457
1520437769448023422,0.4913237206,0.0879535958,1.1795165747,0.9999173717,0.0085894196,-0.0039837017,-0.0086949226
1520437769456357422,0.4913218920,0.0878652330,1.1796575432,0.9999152075,0.0084729632,-0.0046443770,-0.0087302021
1520437769464690422,0.4913368078,0.0877626243,1.1798220565,0.9999114706,0.0084103567,-0.0053146136,-0.0088358168
1520437769473024422,0.4913421794,0.0876424389,1.1800033549,0.9999070986,0.0083732047,-0.0059331003,-0.0089711774
1520437769481357422,0.4913836945,0.0875324713,1.1802025373,0.9998985362,0.0085721899,-0.0066622680,-0.0092222046
1520437769489690422,0.4914107074,0.0874211702,1.1804153956,0.9998905797,0.0087106729,-0.0073558142,-0.0094257512
1520437769498023422,0.4914502541,0.0873281069,1.1806447140,0.9998854391,0.0087645522,-0.0080566483,-0.0093478137
1520437769506357422,0.4915372660,0.0872364598,1.1808950064,0.9998800481,0.0088405343,-0.0087770931,-0.0092030965
1520437769514690422,0.4915878878,0.0871669241,1.1811559963,0.9998788893,0.0084911884,-0.0094776746,-0.0089599130
1520437769523023422,0.4917648974,0.0871610296,1.1813856830,0.9998680642,0.0087262818,-0.0107361786,-0.0085112086
1520437769531357422,0.4918572262,0.0872132720,1.1816613090,0.9998629983,0.0083702835,-0.0117254108,-0.0081509359
1520437769539690422,0.4922472402,0.0872065876,1.1819248545,0.9998314241,0.0083434350,-0.0138207479,-0.0087462804
1520437769548024422,0.4920552210,0.0870129612,1.1823737811,0.9998566228,0.0068690101,-0.0136134132,-0.0073637920
1520437769556357422,0.4921640722,0.0870520313,1.1827170565,0.9998497871,0.0063187244,-0.0145611639,-0.0069605688
1520437769564690422,0.4922698387,0.0870714365,1.1830464277,0.9998431566,0.0058379110,-0.0153301694,-0.0066758425
1520437769573023422,0.4923018051,0.0872262529,1.1833352287,0.9998370847,0.0057923393,-0.0158757604,-0.0063413868
1520437769581357422,0.4923148100,0.0873500302,1.1836936266,0.9998349677,0.0060929523,-0.0161058686,-0.0057891502
1520437769589690422,0.4923839468,0.0873616044,1.1840495332,0.9998302837,0.0052087986,-0.0167519426,-0.0056253572
1520437769598024422,0.4924055322,0.0873650693,1.1844169371,0.9998276490,0.0043972488,-0.0171809566,-0.0054910174
1520437769606357422,0.4924866571,0.0873658208,1.1847579407,0.9998226392,0.0037291454,-0.0176502602,-0.0054085098
1520437769614690422,0.4925839350,0.0873534383,1.1850654665,0.9998221392,0.0030530518,-0.0179181872,-0.0050306466
1520437769623023422,0.4926881324,0.0873615737,1.1853882217,0.9998220875,0.0023765455,-0.0180704215,-0.0048585294
1520437769631357422,0.4928881534,0.0873117327,1.1856997557,0.9998152461,0.0009552063,-0.0185009642,-0.0051259780
1520437769639690422,0.4930460798,0.0872220783,1.1860382552,0.9998237193,0.0001563905,-0.0181817784,-0.0046828298
1520437769648023422,0.4931570616,0.0873283171,1.1861921506,0.9998334233,0.0002463263,-0.0176760869,-0.0045410250
1520437769656357422,0.4933565275,0.0873215901,1.1863902373,0.9998434806,-0.0000555262,-0.0172135127,-0.0040873255
1520437769664690422,0.4934782239,0.0874744638,1.1865416926,0.9998554834,0.0002135070,-0.0165644429,-0.0038191627
1520437769673024422,0.4937015776,0.0875115992,1.1867014516,0.9998656079,-0.0000560553,-0.0160301449,-0.0034347323
1520437769681357422,0.4939435703,0.0875414819,1.1868728363,0.9998713748,-0.0003751344,-0.0157329153,-0.0030932949
1520437769689690422,0.4941948488,0.0876294338,1.1869549193,0.9998825060,-0.0004229088,-0.0150938354,-0.0026403448
1520437769698023422,0.4944733864,0.0877362522,1.1869965324,0.9998918185,-0.0004458250,-0.0145495085,-0.0021128816
1520437769706357422,0.4947426588,0.0878770941,1.1869901171,0.9999000956,-0.0006221529,-0.0140167783,-0.0017151507
1520437769714690422,0.4950912767,0.0881068619,1.1868617590,0.9999068965,-0.0001792330,-0.0135862454,-0.0012570462
1520437769723024422,0.4954171466,0.0882448841,1.1868053172,0.9999151649,-0.0000957591,-0.0130015506,-0.0007833281
1520437769731357422,0.4957323874,0.0884145536,1.1867462596,0.9999204864,0.0000647385,-0.0126078998,-0.0002399645
1520437769739690422,0.4960611976,0.0886307034,1.1866348493,0.9999255213,0.0000727151,-0.0122010329,0.0002853235
1520437769748023422,0.4964178212,0.0888280003,1.1865178540,0.9999290720,0.0001225929,-0.0118702570,0.0009658894
1520437769756357422,0.4967446900,0.0890359399,1.1863857434,0.9999312081,0.0002028128,-0.0116084550,0.0016678467
1520437769764690422,0.4970869311,0.0892578122,1.1862202541,0.9999319294,0.0003007120,-0.0113831191,0.0025437550
1520437769773023422,0.4976261655,0.0896622461,1.1859374453,0.9999217287,0.0011821744,-0.0120635463,0.0030999570
1520437769781357422,0.4979528485,0.0898392270,1.1858004198,0.9999183896,0.0012582675,-0.0121008234,0.0038988457
1520437769789690422,0.4982434338,0.0900599811,1.1856453472,0.9999124004,0.0011919474,-0.0123287067,0.0046662318
1520437769798024422,0.4985198704,0.0902692824,1.1855004921,0.9999061694,0.0010127602,-0.0125386197,0.0054230735
1520437769806357422,0.4988465301,0.0904732429,1.1853706750,0.9998948466,0.0008973844,-0.0130578986,0.0062435278
1520437769814690422,0.4989049553,0.0904828603,1.1853795663,0.9998974845,0.0002045401,-0.0124894949,0.0069993702
1520437769823023422,0.4991146504,0.0907350483,1.1852070731,0.9998876895,0.0002050723,-0.0129776057,0.0074932088
1520437769831357422,0.4993512402,0.0909610277,1.1850133097,0.9998786841,0.0004283640,-0.0132856374,0.0081194420
1520437769839690422,0.4995533510,0.0911865714,1.1847712265,0.9998677453,0.0003587908,-0.0136474343,0.0088380320
1520437769848024422,0.4997761259,0.0914144149,1.1845498358,0.9998588690,0.0007501598,-0.0139222928,0.0093727850
1520437769856357422,0.4999540562,0.0916381625,1.1842799727,0.9998493396,0.0011254614,-0.0142222874,0.0098872591
1520437769864690422,0.5001758847,0.0918254713,1.1840559592,0.9998393527,0.0014937838,-0.0146651528,0.0101966026
1520437769873023422,0.5003569492,0.0920199653,1.1838510766,0.9998294453,0.0017424882,-0.0151137636,0.0104698741
1520437769881357422,0.5007460737,0.0923765731,1.1834401832,0.9998069306,0.0030004374,-0.0160888776,0.0108741368
1520437769889690422,0.5009223314,0.0925793267,1.1831529396,0.9997938878,0.0032947147,-0.0167102566,0.0110496175
1520437769898023422,0.5011397452,0.0927536108,1.1828871175,0.9997812641,0.0036108612,-0.0172452661,0.0112688226
1520437769906357422,0.5011080872,0.0927212931,1.1827560619,0.9997866663,0.0031750112,-0.0169189921,0.0114144202
1520437769914690422,0.5015236747,0.0930685337,1.1822606255,0.9997639655,0.0042896375,-0.0179290947,0.0114960767
1520437769923024422,0.5015374874,0.0930307406,1.1821481189,0.9997734407,0.0038929160,-0.0173173277,0.0117483021
1520437769931357422,0.5019236693,0.0933309566,1.1816702382,0.9997551352,0.0047905525,-0.0181398462,0.0117331266
1520437769939690422,0.5021416944,0.0934597221,1.1813229874,0.9997484572,0.0051502563,-0.0183816333,0.0117733894
1520437769948023422,0.5024023270,0.0936134649,1.1809682648,0.9997412728,0.0055412086,-0.0186644451,0.0117609956
1520437769956357422,0.5026359001,0.0937515419,1.1806032053,0.9997389650,0.0058165814,-0.0186494614,0.0118476548
1520437769964690422,0.5027212470,0.0937422713,1.1803609662,0.9997470887,0.0058391966,-0.0182789136,0.0117279033
1520437769973024422,0.5029315361,0.0938869186,1.1799951283,0.9997461678,0.0060939957,-0.0182755742,0.0116818872
1520437769981357422,0.5032380046,0.0940091035,1.1795444264,0.9997386678,0.0068918998,-0.0180948461,0.0121521333
1520437769989690422,0.5034853392,0.0942101676,1.1791701535,0.9997285796,0.0072316168,-0.0180992497,0.0127627553
1520437769998023422,0.5037189004,0.0943640239,1.1787234735,0.9997283616,0.0075896609,-0.0178495232,0.0129226385
1520437770006357422,0.5039668086,0.0944680474,1.1783531518,0.9997274874,0.0078709428,-0.0174261499,0.0133913610
1520437770014690422,0.5042473593,0.0946706858,1.1778719217,0.9997193697,0.0083613984,-0.0175329509,0.0135596655
1520437770023023422,0.5045070374,0.0948488359,1.1774741332,0.9997153270,0.0086395850,-0.0173405122,0.0139258456
1520437770031357422,0.5047849964,0.0950486164,1.1770722973,0.9997087556,0.0088141043,-0.0172805152,0.0143561634
1520437770039690422,0.5049870492,0.0952602747,1.1766772823,0.9997060874,0.0087754147,-0.0170497097,0.0148336905
1520437770048024422,0.5051504290,0.0954693044,1.1763716858,0.9997053554,0.0085021800,-0.0169932027,0.0151045179
1520437770056357422,0.5053771730,0.0957118386,1.1759879189,0.9996937703,0.0085105758,-0.0171264507,0.0157041503
1520437770064690422,0.5055506398,0.0959369928,1.1756224304,0.9996892892,0.0083008444,-0.0169367325,0.0162962613
1520437770073023422,0.5057391783,0.0961366189,1.1752519553,0.9996776103,0.0082836177,-0.0168163803,0.0171250263
1520437770081357422,0.5059288386,0.0963382927,1.1749412739,0.9996671407,0.0082752790,-0.0171436089,0.0174133337
1520437770089690422,0.5060429342,0.0965358622,1.1746280832,0.9996630791,0.0083480614,-0.0171521840,0.0176022915
1520437770098024422,0.5060483134,0.0967361543,1.1743271310,0.9996490173,0.0085945282,-0.0170842500,0.0183331600
1520437770106357422,0.5062248982,0.0969200834,1.1739380230,0.9996327098,0.0090890359,-0.0175085650,0.0185818483
1520437770114690422,0.5063608293,0.0970321999,1.1736218072,0.9996256872,0.0092868475,-0.0175700742,0.0188024561
1520437770123023422,0.5066384356,0.0973409482,1.1730650070,0.9996087664,0.0100310532,-0.0186644821,0.0182573050
1520437770131357422,0.5067793861,0.0974314914,1.1727344788,0.9996126824,0.0102089793,-0.0187638964,0.0178375485
1520437770139690422,0.5068670211,0.0975145382,1.1723985704,0.9996224320,0.0103731778,-0.0185737782,0.0173898067
1520437770148023422,0.5070213474,0.0975474333,1.1720423882,0.9996289455,0.0102927033,-0.0186530828,0.0169733371
1520437770156357422,0.5071550272,0.0975978836,1.1716675167,0.9996411948,0.0104671611,-0.0182762004,0.0165499429
1520437770164690422,0.5072574515,0.0976275858,1.1712962785,0.9996561043,0.0104449539,-0.0179367337,0.0160265289
1520437770173024422,0.5074159788,0.0976229556,1.1709185286,0.9996712220,0.0105695327,-0.0175248573,0.0154470770
1520437770181357422,0.5075942047,0.0976249989,1.1705629436,0.9996850316,0.0105734743,-0.0171365170,0.0149792840
1520437770189690422,0.5077239080,0.0975729217,1.1702280298,0.9997013041,0.0101728455,-0.0167507225,0.0146023629
1520437770198023422,0.5078916501,0.0975830764,1.1699048489,0.9997148166,0.0100926591,-0.0163299278,0.0142041270
1520437770206357422,0.5080606067,0.0976069217,1.1695565507,0.9997282056,0.0100400445,-0.0159004503,0.0137799871
1520437770214690422,0.5080263009,0.0974282540,1.1694318798,0.9997558278,0.0092722211,-0.0145518255,0.0138041710
1520437770223024422,0.5081694653,0.0974856190,1.1691353893,0.9997669138,0.0089842797,-0.0143352172,0.0134127673
1520437770231357422,0.5082860251,0.0975190894,1.1688643277,0.9997771365,0.0087936836,-0.0139705494,0.0131594887
1520437770239690422,0.5085480421,0.0975656987,1.1685594177,0.9997893608,0.0082474703,-0.0141756100,0.0123395849
1520437770248023422,0.5088440291,0.0978167996,1.1681499696,0.9997821615,0.0089830358,-0.0145879641,0.0119216561
1520437770256357422,0.5087803147,0.0978717613,1.1679212509,0.9997864448,0.0092944109,-0.0137970196,0.0122605447
1520437770264690422,0.5088633312,0.0979567033,1.1676880114,0.9997904783,0.0091924078,-0.0138516378,0.0119428299
1520437770273023422,0.5089631448,0.0980447852,1.1674928162,0.9997924264,0.0091700605,-0.0138914669,0.0117490923
1520437770281357422,0.5090626793,0.0981376619,1.1673176274,0.9997909014,0.0092120683,-0.0141495497,0.0115360929
1520437770289690422,0.5091866518,0.0982491032,1.1671734751,0.9997844073,0.0093957113,-0.0146021183,0.0113858516
1520437770298024422,0.5093482710,0.0983716653,1.1670327862,0.9997751010,0.0096881001,-0.0150939558,0.0113163892
1520437770306357422,0.5095042002,0.0985565428,1.1669106665,0.9997658570,0.0100372335,-0.0155769077,0.0111734074
1520437770314690422,0.5096869671,0.0987154842,1.1668136841,0.9997552416,0.0103406487,-0.0161148609,0.0110832800
1520437770323023422,0.5099038900,0.0988907342,1.1667082243,0.9997442560,0.0107071956,-0.0165450872,0.0110922824
1520437770331357422,0.5101076119,0.0990778828,1.1666110932,0.9997372409,0.0109899881,-0.0167867422,0.0110848817
1520437770339690422,0.5102539436,0.0991575862,1.1666490371,0.9997462513,0.0110713662,-0.0162083679,0.0110519979
1520437770348024422,0.5105103433,0.0994396893,1.1665329662,0.9997390438,0.0115767590,-0.0162741874,0.0110893534
1520437770356357422,0.5107197950,0.0996411929,1.1664914786,0.9997414029,0.0116125620,-0.0160420932,0.0111770710
1520437770364690422,0.5108787318,0.0998223565,1.1664915685,0.9997521892,0.0109499794,-0.0157147162,0.0113448571
1520437770373023422,0.5110870700,0.1000478765,1.1664998823,0.9997608802,0.0104184948,-0.0152850403,0.0116621149
1520437770381357422,0.5111381125,0.1002097109,1.1665616635,0.9997762370,0.0093900116,-0.0146198310,0.0120649966
1520437770389690422,0.5112922298,0.1004104181,1.1666355646,0.9997882364,0.0087462227,-0.0141303168,0.0121375449
1520437770398023422,0.5113997380,0.1005860794,1.1667057146,0.9998090965,0.0075598442,-0.0135897932,0.0118294873
1520437770406357422,0.5115087816,0.1008159834,1.1668631810,0.9998182187,0.0065892014,-0.0131806650,0.0120988459
1520437770414690422,0.5115770978,0.1009909491,1.1669848541,0.9998345993,0.0055461911,-0.0124873819,0.0120032971
1520437770423024422,0.5116610000,0.1011524644,1.1671258568,0.9998477913,0.0045958572,-0.0119387261,0.0118633524
1520437770431357422,0.5117370945,0.1012621199,1.1672477836,0.9998615261,0.0035403659,-0.0113424328,0.0116509091
1520437770439690422,0.5118675514,0.1013889164,1.1673829217,0.9998699780,0.0028259940,-0.0110046610,0.0114428245
1520437770448023422,0.5118778277,0.1014979952,1.1674590088,0.9998799352,0.0020534766,-0.0102092084,0.0114747742
1520437770456357422,0.5118981081,0.1016067961,1.1674958723,0.9998901442,0.0015943109,-0.0097158936,0.0110796679
1520437770464690422,0.5118679088,0.1017149374,1.1674793129,0.9998978558,0.0016368439,-0.0091435285,0.0108625310
1520437770473024422,0.5118601595,0.1017873089,1.1675120778,0.9999009605,0.0015067837,-0.0090925594,0.0106359838
1520437770481357422,0.5119321983,0.1017733279,1.1676027174,0.9999027588,0.0012953088,-0.0094438664,0.0101788228
1520437770489690422,0.5119235257,0.1018078469,1.1676505138,0.9999045028,0.0014615743,-0.0096527663,0.0097812636
1520437770498023422,0.5119055420,0.1018418289,1.1676859578,0.9999067818,0.0016821012,-0.0099936961,0.0091500960
1520437770506357422,0.5121242912,0.1020482528,1.1675702522,0.9998998686,0.0030004291,-0.0110264893,0.0083466626
1520437770514690422,0.5120754682,0.1020611263,1.1675792308,0.9998990716,0.0031522339,-0.0114723460,0.0077650032
1520437770523023422,0.5120144108,0.1021019722,1.1675763481,0.9999005133,0.0036093669,-0.0114637207,0.0073836984
1520437770531357422,0.5119816917,0.1021228235,1.1675909008,0.9998999496,0.0037015726,-0.0118254295,0.0068226367
1520437770539690422,0.5119353867,0.1021340411,1.1676036465,0.9998975070,0.0040737125,-0.0121901109,0.0063072553
1520437770548024422,0.5119195031,0.1021347568,1.1676125394,0.9998953532,0.0041515976,-0.0125994610,0.0057706498
1520437770556357422,0.5119035226,0.1021423595,1.1676373575,0.9998916546,0.0043622706,-0.0130487379,0.0052326013
1520437770564690422,0.5119169079,0.1020749442,1.1676562201,0.9998897160,0.0045330827,-0.0134149798,0.0044771896
1520437770573023422,0.5119355133,0.1020877552,1.1676941683,0.9998879377,0.0044348459,-0.0136967671,0.0041039868
1520437770581357422,0.5121252071,0.1021128667,1.1677204727,0.9998819114,0.0043196403,-0.0143557439,0.0033788393
1520437770589690422,0.5121531539,0.1021572496,1.1677413371,0.9998817399,0.0042266888,-0.0144308481,0.0032236628
1520437770598024422,0.5121890631,0.1021963757,1.1677740147,0.9998826748,0.0042557882,-0.0143746261,0.0031456396
1520437770606357422,0.5122235785,0.1022621520,1.1678062217,0.9998843025,0.0041680096,-0.0142916142,0.0031239484
1520437770614690422,0.5122192274,0.1023361792,1.1678376252,0.9998892817,0.0040376321,-0.0139712661,0.0031504828
1520437770623023422,0.5120790688,0.1022030916,1.1680328072,0.9999026096,0.0031685941,-0.0132129337,0.0031858655
1520437770631357422,0.5119286097,0.1022160973,1.1681403209,0.9999098472,0.0029958404,-0.0124917019,0.0039089373
1520437770639690422,0.5120717450,0.1024546736,1.1680261874,0.9999051135,0.0034657476,-0.0128156757,0.0036757344
1520437770648023422,0.5118615671,0.1022814293,1.1682347827,0.9999178504,0.0024484907,-0.0119878353,0.0038195861
1520437770656357422,0.5119787202,0.1025097344,1.1681233959,0.9999101534,0.0026460795,-0.0127205101,0.0032972862
1520437770664690422,0.5117616410,0.1023271403,1.1683418371,0.9999244292,0.0019074016,-0.0115417695,0.0037795811
1520437770673024422,0.5118383399,0.1023767083,1.1683277594,0.9999212617,0.0012779046,-0.0121566059,0.0028380235
1520437770681357422,0.5115931076,0.1024066997,1.1683960334,0.9999273100,0.0011485548,-0.0115101593,0.0034017189
1520437770689690422,0.5114915866,0.1024068743,1.1684106063,0.9999286146,0.0009262416,-0.0114150198,0.0034066395
1520437770698023422,0.5113856342,0.1024256320,1.1684145957,0.9999305739,0.0005810432,-0.0112816877,0.0033515968
1520437770706357422,0.5112259704,0.1024215504,1.1684314322,0.9999346120,0.0002387387,-0.0108813162,0.0035088069
1520437770714690422,0.5110789547,0.1024311581,1.1684196656,0.9999388717,0.0002270819,-0.0104591300,0.0035788201
1520437770723024422,0.5109279885,0.1024359244,1.1683832314,0.9999391767,-0.0000351314,-0.0105167569,0.0033225721
1520437770731357422,0.5107531575,0.1024401760,1.1683363950,0.9999416750,-0.0000788707,-0.0103240382,0.0031709110
1520437770739690422,0.5105315492,0.1024392892,1.1682797582,0.9999434577,-0.0001802622,-0.0101761788,0.0030812676
1520437770748023422,0.5104898082,0.1024144016,1.1681909098,0.9999408946,-0.0004676896,-0.0106144584,0.0023069143
1520437770756357422,0.5101247068,0.1022860798,1.1681489864,0.9999465768,-0.0002408238,-0.0099414957,0.0028199636
1520437770764690422,0.5098953185,0.1022525169,1.1680419506,0.9999474143,-0.0002115275,-0.0099247328,0.0025736281
1520437770773023422,0.5096569141,0.1022253912,1.1679526091,0.9999487096,-0.0000928657,-0.0098567739,0.0023266934
1520437770781357422,0.5093993338,0.1022003182,1.1678480036,0.9999494908,0.0000842219,-0.0098301515,0.0020920841
1520437770789690422,0.5090836203,0.1022110303,1.1676768046,0.9999500545,0.0003811198,-0.0098338990,0.0017428840
1520437770798024422,0.5088154806,0.1021759960,1.1675776419,0.9999504381,0.0004634153,-0.0098350557,0.0014759134
1520437770806357422,0.5085962912,0.1021358713,1.1674578718,0.9999485142,0.0006582143,-0.0100841847,0.0009192187
1520437770814690422,0.5083081898,0.1020796829,1.1673487849,0.9999479496,0.0008726036,-0.0101464257,0.0006218325
1520437770823023422,0.5080403463,0.1020493424,1.1672244563,0.9999474021,0.0009767910,-0.0102052937,0.0003014912
1520437770831357422,0.5077522803,0.1020233245,1.1671382346,0.9999459246,0.0011015237,-0.0103402943,-0.0001135103
1520437770839690422,0.5074017812,0.1020122494,1.1670528027,0.9999441713,0.0012408369,-0.0104670420,-0.0007454393
1520437770848024422,0.5070624347,0.1019976477,1.1669623399,0.9999431541,0.0012723022,-0.0105084519,-0.0012814886
1520437770856357422,0.5067196089,0.1019695895,1.1668715720,0.9999418597,0.0013637878,-0.0105438126,-0.0018014826
1520437770864690422,0.5063561601,0.1019415386,1.1668006878,0.9999387923,0.0013484103,-0.0107098693,-0.0024273747
1520437770873023422,0.5059643504,0.1019044575,1.1667229268,0.9999358833,0.0015326005,-0.0107866339,-0.0030868959
1520437770881357422,0.5055399182,0.1018767661,1.1666794198,0.9999325912,0.0013272451,-0.0109031570,-0.0037646699
1520437770889690422,0.5051045204,0.1018267657,1.1666261107,0.9999280961,0.0013786465,-0.0111074161,-0.0043043212
1520437770898023422,0.5046865687,0.1017867364,1.1665565901,0.9999212670,0.0013801878,-0.0115138944,-0.0047942762
1520437770906357422,0.5042414439,0.1017631883,1.1664654418,0.9999148017,0.0015211319,-0.0118302682,-0.0053028578
1520437770914690422,0.5037734109,0.1017150590,1.1663854152,0.9999037194,0.0017267433,-0.0124232907,-0.0059356660
1520437770923024422,0.5033359621,0.1016857514,1.1662921105,0.9998965472,0.0017720894,-0.0128061783,-0.0063052616
1520437770931357422,0.5028722296,0.1016394384,1.1661633649,0.9998918737,0.0019138682,-0.0131086363,-0.0063829227
1520437770939690422,0.5023508748,0.1015827125,1.1660470760,0.9998854387,0.0021353068,-0.0133945906,-0.0067182531
1520437770948023422,0.5018569272,0.1014972469,1.1659647221,0.9998783852,0.0024218352,-0.0137992388,-0.0068505920
1520437770956357422,0.5013313090,0.1014299394,1.1658897804,0.9998718670,0.0024142687,-0.0141415791,-0.0071018693
1520437770964690422,0.5007337599,0.1013723985,1.1658488879,0.9998666889,0.0023468132,-0.0143689129,-0.0073913015
1520437770973024422,0.5001521740,0.1012903380,1.1658040023,0.9998659442,0.0024605741,-0.0142777895,-0.0076278330
1520437770981357422,0.4994030947,0.1012748194,1.1657147508,0.9998661604,0.0023297605,-0.0141849049,-0.0078116626
1520437770989690422,0.4987442018,0.1012411965,1.1657370103,0.9998574159,0.0020789579,-0.0144110635,-0.0085526008
1520437770998023422,0.4980027036,0.1012336630,1.1657278157,0.9998547941,0.0021096555,-0.0142822460,-0.0090530386
1520437771006357422,0.4971995661,0.1012221448,1.1657333329,0.9998512359,0.0018239139,-0.0142447564,-0.0095533368
1520437771014690422,0.4963500489,0.1012387551,1.1658023514,0.9998448169,0.0013559906,-0.0143787485,-0.0100873706
1520437771023023422,0.4954727496,0.1013023804,1.1658713840,0.9998331741,0.0012461608,-0.0146374385,-0.0108543264
1520437771031357422,0.4946093607,0.1013660642,1.1659605240,0.9998282735,0.0011171286,-0.0146687210,-0.0112696116
1520437771039690422,0.4936147408,0.1014892704,1.1660162447,0.9998252026,0.0007768318,-0.0147546124,-0.0114569681
1520437771048024422,0.4926873966,0.1016178112,1.1661508226,0.9998128963,0.0005967117,-0.0151991042,-0.0119500405
1520437771056357422,0.4916365963,0.1017747876,1.1662622336,0.9998022107,0.0004456232,-0.0154059309,-0.0125697358
1520437771064690422,0.4905822260,0.1019251347,1.1664004970,0.9997920982,0.0003806906,-0.0158628410,-0.0128056918
